algorithm,cache_size_gb,avg_miss_ratio,avg_hit_rate,std_miss_ratio,num_traces
momentum_decay,0.5,0.6948264013043537,0.3051735986956463,0.006512129206751556,5
proactive_eviction,0.5,0.6983384494556912,0.30166155054430877,0.004413773369197966,5
belady,0.5,0.6791024319728127,0.3208975680271873,0.00761779432021723,5
lru,0.5,1.0,0.0,0.0,5
sglang,0.5,1.0,0.0,0.0,5
orca,0.5,0.8526338440895884,0.14736615591041158,0.008527336618607885,5
momentum_decay,1.0,0.5078176462925903,0.4921823537074097,0.010053829841079219,5
proactive_eviction,1.0,0.50735524969308,0.49264475030692,0.010722940044701755,5
belady,1.0,0.3668851050700921,0.6331148949299079,0.008570264466409476,5
lru,1.0,1.0,0.0,0.0,5
sglang,1.0,1.0,0.0,0.0,5
orca,1.0,0.7065368259298925,0.29346317407010747,0.006036405455410503,5
momentum_decay,1.5,0.36259467013258073,0.6374053298674193,0.009166112388867007,5
proactive_eviction,1.5,0.3618448500717163,0.6381551499282837,0.0093536125167656,5
belady,1.5,0.19697168428251027,0.8030283157174898,0.007849222025731411,5
lru,1.5,0.8124755430506518,0.18752445694934816,0.17746129376699474,5
sglang,1.5,0.8124755430506518,0.18752445694934816,0.17746129376699474,5
orca,1.5,0.5618518386714191,0.4381481613285809,0.004768190027884809,5
momentum_decay,2.0,0.23822516578897499,0.761774834211025,0.007382040304157959,5
proactive_eviction,2.0,0.2351545208281637,0.7648454791718363,0.008639592808784654,5
belady,2.0,0.1034932092262881,0.8965067907737119,0.010587790957526879,5
lru,2.0,0.29540027198320046,0.7045997280167995,0.023860233494805164,5
sglang,2.0,0.2954002719832005,0.7045997280167995,0.023860233494805167,5
orca,2.0,0.41510507611213077,0.5848949238878692,0.0068988359261763135,5
momentum_decay,2.5,0.13379910359184827,0.8662008964081518,0.00698882676421899,5
proactive_eviction,2.5,0.12730151078603358,0.8726984892139664,0.006622333750783976,5
belady,2.5,0.04967977974894216,0.9503202202510579,0.012276152149769832,5
lru,2.5,0.13343471551903727,0.8665652844809627,0.015039385954051337,5
sglang,2.5,0.13343471551903727,0.8665652844809627,0.015039385954051344,5
orca,2.5,0.27200803525519335,0.7279919647448067,0.005692944842543218,5
momentum_decay,3.0,0.05496325789460236,0.9450367421053977,0.011030481763769601,5
proactive_eviction,3.0,0.048367035605442,0.951632964394558,0.008861903721006342,5
belady,3.0,0.02172281611352938,0.9782771838864707,0.013505304205622154,5
lru,3.0,0.043302075835983,0.956697924164017,0.01351533309984058,5
sglang,3.0,0.04330207583598301,0.956697924164017,0.013515333099840559,5
orca,3.0,0.12892928825885341,0.8710707117411466,0.0038903588367926525,5
momentum_decay,3.5,0.014625037254207903,0.9853749627457921,0.01495084819984258,5
proactive_eviction,3.5,0.014625037254207903,0.9853749627457921,0.01495084819984258,5
belady,3.5,0.014625037254207903,0.9853749627457921,0.01495084819984258,5
lru,3.5,0.014625037254207895,0.9853749627457921,0.01495084819984259,5
sglang,3.5,0.014625037254207903,0.9853749627457921,0.01495084819984258,5
orca,3.5,0.014625037254207903,0.9853749627457921,0.01495084819984258,5
